Launch Date and Time (UTC),Launch Date Only (UTC),Launch Site (Abbrv.),Launch Site (Full),Latitude,Longitude,Launch Vehicle,Success,Nation of Ownership,Official Payload Name,Manufacturer's Payload Name,Inclination degrees,COSPAR,Launch Designator ,SATCAT ID,SATCAT ID w/o success code or leading zeros,LV S/N,Site,Ref,International Designator,Decay Date,Orbital Period minutes,Apogee Altitude kilometers,Perigee Altitude kilometers,Radar Cross Section meters2
1971 Dec 16 0939?,12/16/1971,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,CIS,Kosmos-466,Zenit-4M,65,1971-112A,1971-112,S05687,5687,7801422-236,NIIP-5   LC31,RAEX,1971-112A,12/27/1971,90,375,175,N/A
1971 Dec 17 1039:58,12/17/1971,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K63,S,CIS,Kosmos-467,DS-P1-Yu No. 45,71,1971-113A,1971-113,S05704,5704,-,NIIP-53  LC133/3,AVMDS,1971-113A,4/18/1972,87.8,177,150,N/A
1971 Dec 17 1300?,12/17/1971,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,CIS,Kosmos-468,Strela-2M,74,1971-114A,1971-114,S05705,5705,65014-102,NIIP-53  LC132/2,RAEX,1971-114A,,100.3,783,763,2.4603
1971 Dec 19 2250?,12/19/1971,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Molniya 8K78M,S,CIS,Molniya-1,Molniya-1 11F67 No. 25,64.6,1971-115A,1971-115,S05712,5712,7705711-497,NIIP-53  LC43/4,RAEX,1971-115A,4/13/1977,127.6,3951,84,57.7689
1971 Dec 20 0110:04,12/20/1971,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas SLV-3C Centaur,S,ITSO,INTELSAT IV F3,INTELSAT IV F3,14.2,1971-116A,1971-116,S05709,5709,AC-26,CC       LC36A,TR-1022,1971-116A,,1445.5,36007,35933,2.3549
1971 Dec 25 1130?,12/25/1971,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Tsiklon-2,S,CIS,Kosmos-469,US-A reactor,64.5,1971-117A,1971-117,S05721,5721,Yu22500-18L,NIIP-5   LC90/19,RAEX,1971-117A,,104.7,991,965,2.7677
1971 Dec 27 1404?,12/27/1971,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz 11A511M,S,CIS,Kosmos-470,Zenit-4MT,65.4,1971-118A,1971-118,S05727,5727,Yu15000-001,NIIP-53  LC41/1,RAEX,1971-118A,1/6/1972,88.8,240,187,N/A
1971 Dec 27 1900:00,12/27/1971,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,FR,Aureole 1,DS-U2-GKA No. 1,74,1971-119A,1971-119,S05729,5729,65014-103,NIIP-53  LC132/2,AVMDS,1971-119A,,105,1601,387,2.1471
1971 Dec 29 1050:01,12/29/1971,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Vostok 8A92M,S,CIS,Meteor,Meteor-MV No. 18,81.3,1971-120A,1971-120,S05731,5731,7705711-307,NIIP-53  LC41/1,PL-WWW,1971-120A,,102,872,837,4.0001
1971 Feb  3 0141:40,2/3/1971,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Delta M,S,NATO,NATO IIB,NATOSAT-II,10.2,1971-009A,1971-009,S04902,4902,560/D82,CC       LC17A,TR-1022,1971-009A,,1436.1,35807,35766,1.8141
1971 Feb  6 1848,9/10/1965,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,LM AS,S,US,Antares,LM 8 Ascent Stage,99,1971-U01,1971-U01,A01931,1931,8,FMR      LM8-DS,ApolloMR,1965-072E,,100.9,984,614,0.051
1971 Feb  9 1848:48,2/9/1971,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,CIS,Kosmos-394,DS-P1-M No. 2,65.8,1971-010A,1971-010,S04922,4922,65027-119,NIIP-53  LC132/1,AVMDS,1971-010A,,94.3,499,466,1.2754
1971 Feb 16 0400:00,2/16/1971,KSCUT,"Uchinoura Space Center, Japan",31.2,131.1,Mu-4S,S,JPN,Tansei-1,MS-T1,29.7,1971-011A,1971-011,S04952,4952,M-4S-2,KASC     M,ISAS-Doc320,1971-011A,,106,1101,982,0.677
1971 Feb 17 0352:05,2/17/1971,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Burner 2,S,US,DAPP 3526,DAPP Block 5A F-3,98.5,1971-012A,1971-012,S04953,4953,249/BII-11,V        SLC10W,SAC7383,1971-012A,,100,786,731,0.8903
1971 Feb 17 2004:30,,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thorad SLV-2H Agena D,F,,OPS 3297,CORONA CR-13,,1971-F01,1971-F01,F00601,601,537/FTV 1659,V        SLC3W,PER1113,1963-021B,,,,,
