Launch Date and Time (UTC),Launch Site (Abbrv.),Launch Site (Full),Latitude,Longitude,Launch Vehicle,Success,Official Payload Name,Manufacturer's Payload Name,COSPAR,Launch Designator ,SATCAT ID,SATCAT ID w/o success code or leading zeros,Site,LV S/N,Ref,International Designator,Tag,Data Mismatch Investigation Results
1961 Feb 17 2025:02,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,Discoverer 20,ARGON 1,1961 EPS 1,1961 EPS,S00083,83,V        75-3-4,298/FTV 1104,VCR,1961-005A,,
1961 Feb 18 2257:58,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,Discoverer 21,CORONA RM-2,1961 ZET,1961 ZET,S00084,84,V        75-3-5,261/FTV 1102,VCR,1961-006A,,
1961 Feb 22 0345:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Ablestar,S,Transit 3B,Transit 3B,1961 ETA,1961 ETA,S00087,87,CC       LC17B,313/AB007,"SR2,609",1961-007A,,
1961 Feb 25 0013:16,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Juno II,F,NASA S-45,NASA S-45,1961-F01,1961-F01,F00143,143,CC       LC26B,AM-19F,ABMA Memo,1961-015AD,,
1961 Feb 4 0118:03,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78,F,Tyazholiy Sputnik,1VA No. 1,1961 BET 1,1961 BET,S00071,71,NIIP-5   LC1,L1-7V,NK9701-29,1961-002A,Venus,
1961 Jan 31 2021:19,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Agena A,S,Samos 2 F-1,SAMOS F-1,1961 ALP 1,1961 ALP,S00070,70,PA       LC1-1,70D,VCR,1961-001A,,
1961 Jul 12 1025:06,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Delta,S,Tiros 3,NASA A-3,1961 RHO 1,1961 RHO,S00162,162,CC       LC17A,286/D5,TR-1022,1961-017A,,
1961 Jul 12 1511:46,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Agena B,S,Midas 3,Midas ETS-II F1,1961 SIG 1,1961 SIG,S00163,163,PA       LC1-2,97D,WS117L-571,1961-018A,,
1961 Jul 21 2235:00,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,F,Discoverer 27,ARGON 4,1961-F07,1961-F07,F00160,160,V        75-3-4,322/FTV 1110,VCR,1961-016A,,
1961 Jul 7 2329:48,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,Discoverer 26,CORONA C'-6,1961 PI,1961 PI,S00160,160,V        75-3-5,308/FTV 1109,HSRP-104,1961-016A,,
1961 Jun 16 2302:52,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,Discoverer 25,CORONA C'-5,1961 XI 1,1961 XI,S00108,108,V        75-1-1,303/FTV 1107,VCR,1961-014A,,
1961 Jun 29 0423:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Ablestar,S,Transit 4A,Transit 4A,1961 OMI 1,1961 OMI,S00116,116,CC       LC17B,315/AB008,NROC-HIST,1961-015A,,
1961 Jun 30 1709:00,ERAS,"Wallops Flight Facility, USA",37.8,-75.5,Scout X-1,F,NASA S-55,NASA S-55,1961-F06,1961-F06,F00158,158,WI       LA3,ST-5,Gatland1,1961-015AU,,
1961 Jun 8 2116:00,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,F,Discoverer 24,ARGON 3,1961-F05,1961-F05,F00154,154,V        75-3-4,302/FTV 1108,VCR,1961-015AQ,,
1961 Mar 25 0554:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8K72K,S,Korabl'-Sputnik-5,Vostok-3 No. 2,1961 IOT 1,1961 IOT,S00095,95,NIIP-5   LC1,E103-15,NezavB,1961-009A,,
1961 Mar 25 1517:04,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Delta,S,Explorer 10,P-14,1961 KAP,1961 KAP,S00098,98,CC       LC17A,295/D4,TR-1022,1961-010A,,
1961 Mar 30 2034:43,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,F,Discoverer 22,CORONA C'-4,1961-F02,1961-F02,F00145,145,V        75-3-4,300/FTV 1105,VCR,1961-015AF,,
1961 Mar 9 0629:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8K72K,S,Korabl'-Sputnik-4,Vostok-3 No. 1,1961 THE 1,1961 THE,S00091,91,NIIP-5   LC1,E103-14,NezavB,1961-008A,,
1961 May 24 1948:05,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Juno II,F,NASA S-45A,NASA S-45A,1961-F04,1961-F04,F00152,152,CC       LC26B,AM-19G,ABMA,1961-015AN,,
1961 Nov 1 1532:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Blue Scout II,F,Mercury MS-1,Mercury MS-1,1961-F12,1961-F12,F00176,176,CC       LC18B,D-8,KHR-1,1961-015BA,,
1961 Nov 15 2122:46,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,Discoverer 35,CORONA C'-10,1961 A ZET 1,1961 A ZET,S00201,201,V        75-3-4,326/FTV 1118,VCR,1961-030A,,
1961 Nov 15 2226:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Ablestar,S,Transit 4B,Transit 4B,1961 A ETA 1,1961 A ETA,S00202,202,CC       LC17B,305/AB009?,OneontaStar611116,1961-031A,,
1961 Nov 18 0812:21,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas Agena B,S,Ranger 2,NASA P-33,1961 A THE,1961 A THE,S00206,206,CC       LC12,117D (AA2),WS117L-571,1961-032A,Moon,
1961 Nov 22 2045:47,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Agena B,F,Samos 4,Samos 4 (E-5),1961-F13,1961-F13,F00178,178,PA       LC1-1,108D,VCR,1961-015BC,,
1961 Nov 29 1507:57,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas D,S,Mercury MA-5,Mercury SC9,1961 A IOT 1,1961 A IOT,S00208,208,CC       LC14,93D,SP-39,1961-033A,,
1961 Nov 5 2000:30,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,Discoverer 34,CORONA C'-9,1961 A EPS 1,1961 A EPS,S00197,197,V        75-1-1,330/FTV 1117,VCR,1961-029A,,
1961 Oct 13 1922:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,Discoverer 32,CORONA C'''-4,1961 A GAM 1,1961 A GAM,S00189,189,V        75-3-4,328/FTV 1115,VCR,1961-027A,,
1961 Oct 19 1738:00,ERAS,"Wallops Flight Facility, USA",37.8,-75.5,Scout X-1,S,P-21,ST-7,1961-U03,1961-U03,A00138,138,WI       LA3,ST-7,WDCRF,1961-015Y,,
1961 Oct 21 1353:03,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Agena B,S,Midas 4,Midas ETS-II F2,1961 A DEL 1,1961 A DEL,S00192,192,PA       LC1-2,105D,VCR,1961-028A,,
1961 Oct 23 1923:00,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,F,Discoverer 33,CORONA C'-8,1961-F10,1961-F10,F00170,170,V        75-3-5,329/FTV 1116,VCR,1961-020A,,
1961 Oct 27 1630:00,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 63S1,F,Kosmos,DS-1 No. 1,1961-F11,1961-F11,F00174,174,GTsP-4   Mayak-2,1LK,AVMDS,1961-021B,,
1961 Sep 12 1959:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,Discoverer 30,CORONA C'''-2,1961 OME 1,1961 OME,S00182,182,V        75-3-5,310/FTV 1113,VCR,1961-024A,,
1961 Sep 13 1404:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas D,S,Mercury MA-4,Mercury SC8A,1961 A ALP 1,1961 A ALP,S00183,183,CC       LC14,88D,KHR-1,1961-025A,,
1961 Sep 17 2100:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,Discoverer 31,CORONA C'''-3,1961 A BET,1961 A BET,S00186,186,V        75-1-1,324/FTV 1114,VCR,1961-026A,,
1961 Sep 9 1928:27,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Agena B,F,Samos 3,SAMOS E-2,1961-F09,1961-F09,F00168,168,PA       LC1-1,106D,WS117L-571,1961-019A,,
1962 Apr 18 0053:47,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,Discoverer 39,CORONA M-2,1962 LAM 1,1962 LAM,S00276,276,V        75-3-5,331/FTV 1124,VCR,1962-011A,,
1962 Apr 23 2050:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas Agena B,S,Ranger 4,Ranger 4,1962 MU 1,1962 MU,S00280,280,CC       LC12,133D (AA4),KHR-1,1962-012A,Moon,
1962 Apr 24 0400:00,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 63S1,S,Kosmos-3,2MS No. 1,1962 NU 1,1962 NU,S00281,281,GTsP-4   Mayak-2,4LK,NK9709-63,1962-013A,,
1962 Apr 26 1002:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8K72K,S,Kosmos-4,Zenit-2 No. 2,1962 XI 1,1962 XI,S00287,287,NIIP-5   LC1,E103-20,NK96-10-65,1962-014A,,
1962 Apr 26 1049:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Scout X-2,F,SR 4B,GRAB SV5,1962-F03,1962-F03,F00198,198,PA       LC-D,S111,NROC-HIST,1961-029B,,
1962 Apr 26 1800:16,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Delta,S,Ariel 1,UK 1,1962 OMI 1,1962 OMI,S00285,285,CC       LC17A,320/D9,TR-1022,1962-015A,,
1962 Apr 26 1856:08,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Agena B,S,FTV 2401,AFP-201 PVP 851,1962 PI,1962 PI,S00286,286,PA       LC1-1,118D,VCR,1962-016A,,
1962 Apr 29 0030:12,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,FTV 1125,CORONA M-3,1962 RHO 1,1962 RHO,S00290,290,V        75-3-4,333/FTV 1125,VCR,1962-017A,,
1962 Apr 6 1715:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Kosmos 63S1,S,Kosmos-2,1MS No. 1,1962 IOT 1,1962 IOT,S00269,269,GTsP-4   Mayak-2,5LK,NK9707-75,1962-009A,,
1962 Apr 9 1504:48,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Agena B,S,Midas 5,Midas ETS-II F3,1962 KAP 1,1962 KAP,S00271,271,PA       LC1-2,110D,VCR,1962-010A,,
1962 Aug 11 0830:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8K72K,S,Vostok-3,Vostok-3A No. 5,1962 A MU 1,1962 A MU,S00363,363,NIIP-5   LC1,E103-23,VSA074,1962-036A,,
1962 Aug 12 0802:17,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8K72K,S,Vostok-4,Vostok-3A No. 6,1962 A NU 1,1962 A NU,S00365,365,NIIP-5   LC1,E103-22,VSA074,1962-037A,,
1962 Aug 18 1500:00,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 63S1,S,Kosmos-8,DS-K-8 No. 1,1962 A XI 1,1962 A XI,S00367,367,GTsP-4   Mayak-2,-,AVMDS,1962-038A,,
1962 Aug 2 0017:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena D,S,FTV 1152,CORONA M-10,1962 A KAP 1,1962 A KAP,S00360,360,V        75-1-1,344/FTV 1152,VCR,1962-034A,,
1962 Aug 23 1144:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Scout X-2M,S,FTV 3502,P35-2,1962 A OMI 1,1962 A OMI,S00369,369,PA       LC-D,S117,RAE,1962-039A,,
1962 Aug 25 0218:45,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78,F,[AMS Venera],2MV-1 No. 1,1962 A PI 1,1962 A PI,S00371,371,NIIP-5   LC1,T103-12,NK9701-29,1962-040A,Venus,
1962 Aug 27 0653:14,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas Agena B,S,Mariner 2,Mariner R-2,1962 A RHO 1,1962 A RHO,S00374,374,CC       LC12,179D (AA6),KHR-1,1962-041A,Venus,
1962 Aug 29 0100:36,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena D,S,FTV 1153,CORONA M-11,1962 A SIG,1962 A SIG,S00377,377,V        75-1-2,349/FTV 1153,SAMOS,1962-042A,,
1962 Aug 31 1625:00,ERAS,"Wallops Flight Facility, USA",37.8,-75.5,Scout X-3A,S,R-2,Reentry 2,1962-U03,1962-U03,A00254,254,WI       LA3,S114,TN-D-1818,1961-015CF,,
1962 Aug 5 1758:59,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Agena B,S,FTV 2404,AFP-201 PVP 854,1962 A LAM,1962 A LAM,S00361,361,PA       LC1-1,124D,VCR,1962-035A,,
1962 Dec 13 0407:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena D,S,NRL PL120,POPPY 1 SV1,1962 B TAU 1,1962 B TAU,S00502,502,V        75-1-1,365/FTV 2351,VCR,1962-067A,,
1962 Dec 13 2330:01,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Delta B,S,Relay 1,Relay A,1962 B UPS 1,1962 B UPS,S00503,503,CC       LC17A,355/D15,TR-1022,1962-068A,,
1962 Dec 14 2126:07,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena D,S,FTV 1156,CORONA M-17,1962 B PHI,1962 B PHI,S00505,505,V        75-3-5,368/FTV 1156,VCR,1962-069A,,
1962 Dec 16 1433:04,ERAS,"Wallops Flight Facility, USA",37.8,-75.5,Scout X-3,S,Explorer 16,NASA S-55B,1962 B CHI,1962 B CHI,S00506,506,WI       LA3,S115,LAAFB,1962-070A,,
1962 Dec 17 2036:33,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Agena B,F,Midas 6,Midas ETS-III F1,1962-F09,1962-F09,F00213,213,PA       LC1-2,131D,VCR,1961-034A,,
1962 Dec 19 0125:45,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Scout X-3,S,Transit VA-1,Transit VA-1,1962 B PSI 1,1962 B PSI,S00509,509,PA       LC-D,S118,LAAFB,1962-071A,,
1962 Dec 22 0923:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8A92,S,Kosmos-12,Zenit-2 No. 6,1962 B OME 1,1962 B OME,S00517,517,NIIP-5   LC1,T 15000- 10,"NK96-10-65,AVM",1962-072A,,
1962 Dec 4 2130:35,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena D,S,FTV 1155,CORONA M-16,1962 B SIG,1962 B SIG,S00490,490,V        75-1-2,361/FTV 1155,SAMOS,1962-066A,,
1962 Feb 20 1447:39,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas D,S,Friendship Seven,Mercury SC13,1962 GAM 1,1962 GAM,S00240,240,CC       LC14,109D,KHR-1,1962-003A,,
1962 Feb 21 1844:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,FTV 2301,Ferret 1,1962 DEL,1962 DEL,S00242,242,V        75-3-5,332/FTV 2301,VCR,1962-004A,,
1962 Feb 27 1939:20,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,Discoverer 38,CORONA M-1,1962 EPS 1,1962 EPS,S00247,247,V        75-3-4,241/FTV 1123,VCR,1962-005A,,
1962 Feb 8 1243:45,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Delta,S,Tiros 4,NASA A-9,1962 BET 1,1962 BET,S00226,226,CC       LC17A,317/D7,TR-1022,1962-002A,,
1962 Jan 13 2141:02,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,F,Discoverer 37,CORONA C'''-6,1962-F01,1962-F01,F00187,187,V        75-3-4,327/FTV 1120,VCR,1961-024C,,
1962 Jan 24 0930:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Ablestar,F,SR 4,GRAB SV4,1962-F02,1962-F02,F00192,192,CC       LC17B,311/AB010,FI620405-527,1961-028A,,
1962 Jan 26 2030:11,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas Agena B,S,Ranger 3,NASA P-34,1962 ALP 1,1962 ALP,S00221,221,CC       LC12,121D (AA3),KHR-1,1962-001A,Moon,
1962 Jul 10 0835:05,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Delta,S,Telstar 1,Telstar 1,1962 A EPS 1,1962 A EPS,S00340,340,CC       LC17B,316/D11,TR-1022,1962-029A,,
1962 Jul 18 2051:20,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Agena B,S,FTV 2403,AFP-201 PVP 853,1962 A ZET 1,1962 A ZET,S00342,342,PA       LC1-1,120D,VCR,1962-030A,,
1962 Jul 21 0056:40,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,FTV 1130,CORONA M-8,1962 A ETA,1962 A ETA,S00344,344,V        75-3-5,342/FTV 1130,SAMOS,1962-031A,,Actually Vandy; SATCAT was wrong
1962 Jul 22 0921:23,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas Agena B,F,Mariner 1,Mariner R-1,1962-F07,1962-F07,F00209,209,CC       LC12,145D (AA5),KHR-1,1961-033B,,
1962 Jul 28 0030:09,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,FTV 1131,CORONA M-9,1962 A THE,1962 A THE,S00345,345,V        75-3-4,347/FTV 1131,SAMOS,1962-032A,,Actually Vandy; SATCAT was wrong
1962 Jul 28 0918:31,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8A92,S,Kosmos-7,Zenit-2 No. 4,1962 A IOT 1,1962 A IOT,S00346,346,NIIP-5   LC1,T 15000- 07,NK96-10-65,1962-033A,,
1962 Jun 1 0938:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8A92,F,[Kosmos-6],Zenit-2 No. 3,1962-F06,1962-F06,F00206,206,NIIP-5   LC1,E 15000- 01,NK96-10-65,1961-032A,,
1962 Jun 17 1814:18,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Agena B,S,FTV 2402,AFP-201 PVP 852,1962 PSI,1962 PSI,S00307,307,PA       LC1-1,115D,VCR,1962-023A,,
1962 Jun 18 2020:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,FTV 2312,Ferret 2,1962 OME 1,1962 OME,S00308,308,V        75-3-5,343/FTV 2312,VCR,1962-024A,,
1962 Jun 19 1219:01,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Delta,S,Tiros 5,Tiros E,1962 A ALP 1,1962 A ALP,S00309,309,CC       LC17A,321/D10,TR-1022,1962-025A,,
1962 Jun 2 0031:28,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,FTV 1127,CORONA M-5,1962 CHI 1,1962 CHI,S00304,304,V        75-3-4,335/FTV 1127,SAMOS,1962-022A,,
1962 Jun 23 0030:47,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,FTV 1129,CORONA M-6,1962 A BET,1962 A BET,S00315,315,V        75-3-4,339/FTV 1129,SAMOS,1962-026A,,
1962 Jun 28 0109:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena D,S,FTV 1151,CORONA M-7,1962 A GAM,1962 A GAM,S00316,316,V        75-1-1,340/FTV 1151,VCR,1962-027A,,
1962 Jun 30 1600:00,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 63S1,S,Kosmos-6,DS-P1 No. 1,1962 A DEL 1,1962 A DEL,S00338,338,GTsP-4   Mayak-2,-,AVMDS,1962-028A,,
1962 Mar 16 1159:00,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 63S1,S,Kosmos-1,DS-2 No. 1,1962 THE 1,1962 THE,S00266,266,GTsP-4   Mayak-2,6LK,AVMDS,1962-008A,,
1962 Mar 29 0727:00,ERAS,"Wallops Flight Facility, USA",37.8,-75.5,Scout X-2,S,P-21A,ST-9,1962-U01,1962-U01,A00176,176,WI       LA3,ST-9,WDCRF,1961-015BA,,
1962 Mar 7 1606:18,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Delta,S,OSO 1,NASA S-16,1962 ZET 1,1962 ZET,S00255,255,CC       LC17A,301/D8,TR-1022,1962-006A,,
1962 Mar 7 2210:31,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Agena B,S,Samos 6,Samos E-5,1962 ETA 3,1962 ETA,S00259,259,PA       LC1-2,112D,VCR,1962-007C,,
1962 May 10 1206:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Ablestar,F,ANNA 1A,ANNA 1A,1962-F04,1962-F04,F00200,200,CC       LC17B,314/AB011,Gatland1,1961-029D,,
1962 May 15 1936:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,FTV 1126,ARGON 5,1962 SIG 1,1962 SIG,S00292,292,V        75-3-5,334/FTV 1126,VCR,1962-018A,,
1962 May 24 0000:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Scout X-2M,F,FTV 3501,P35-1,1962-F05,1962-F05,F00202,202,PA       LC-D,S112,VAFB,1961-031A,,
1962 May 24 1245:16,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas D,S,Aurora Seven,Mercury SC18,1962 TAU 1,1962 TAU,S00295,295,CC       LC14,107D,KHR-1,1962-019A,,
1962 May 28 0300:00,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 63S1,S,Kosmos-5,2MS No. 2,1962 UPS 1,1962 UPS,S00297,297,GTsP-4   Mayak-2,3LK,NK9711-45,1962-020A,,
1962 May 30 0100:04,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,FTV 1128,CORONA M-4,1962 PHI 1,1962 PHI,S00302,302,V        75-1-1,336/FTV 1128,VCR,1962-021A,,
1962 May 6 0541:00,ERAS,"Wallops Flight Facility, USA",37.8,-75.5,Trailblazer 2,S,Trailblazer IIb,Meteor 1 pellet,1962-U02,1962-U02,A00199,199,WI,TB IIb,SAO-SR317,1961-029C,,
1962 Nov 1 1614:16,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78,S,AMS Mars,2MV-4 No. 2,1962 B NU 3,1962 B NU,S00450,450,NIIP-5   LC1,T103-16,KIAM,1962-061C,Mars,
1962 Nov 11 2017:02,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Agena B,S,FTV 2405,AFP-201 PVP 855,1962 B PI,1962 B PI,S00455,455,PA       LC1-1,128D,VCR,1962-064A,,
1962 Nov 24 2200:54,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,FTV 1135,CORONA M-15,1962 B RHO,1962 B RHO,S00481,481,V        75-3-4,367/FTV 1135,SAMOS,1962-065A,,
1962 Nov 4 1535:15,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78,F,[AMS Mars],2MV-3 No. 1,1962 B XI 1,1962 B XI,S00451,451,NIIP-5   LC1,T103-17,KIAM,1962-062A,Mars,
1962 Nov 5 2204:32,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,FTV 1136,CORONA M-14,1962 B OMI,1962 B OMI,S00453,453,V        75-3-4,356/FTV 1136,SAMOS,1962-063A,,
1962 Oct 17 0900:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8A92,S,Kosmos-10,Zenit-2 No. 5,1962 B ZET 1,1962 B ZET,S00437,437,NIIP-5   LC1,T 15000- 03,NK96-10-65,1962-054A,,
1962 Oct 18 1659:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas Agena B,S,Ranger 5,Ranger 5,1962 B ETA 1,1962 B ETA,S00439,439,CC       LC12,215D (AA7),KHR-1,1962-055A,Moon,
1962 Oct 2 2211:30,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Delta A,S,Explorer 14,EPE B,1962 B GAM 1,1962 B GAM,S00432,432,CC       LC17B,345/D13,TR-1022,1962-051A,,
1962 Oct 20 0400:00,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 63S1,S,Kosmos-11,DS-A1 No. 1,1962 B THE 1,1962 B THE,S00441,441,GTsP-4   Mayak-2,-,AVMDS,1962-056A,,
1962 Oct 24 1755:04,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78,F,[AMS Mars],2MV-4 No. 1,1962 B IOT 1,1962 B IOT,S00443,443,NIIP-5   LC1,T103-15,KIAM,1962-057A,Mars,
1962 Oct 25 0000:00,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 63S1,F,[Kosmos-12],1MS No. 2,1962-F08,1962-F08,F00211,211,GTsP-4   Mayak-2,7LK,AVMNLJ,1961-015BF,,
1962 Oct 26 1614:39,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena D,S,Starad,CORONA R&D FTV 1401,1962 B KAP,1962 B KAP,S00444,444,V        75-1-2,353/FTV 1401,SAMOS,1962-058A,,
1962 Oct 27 2315:01,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Delta A,S,Explorer 15,EPE C,1962 B LAM 1,1962 B LAM,S00445,445,CC       LC17B,346/D14,TR-1022,1962-059A,,
1962 Oct 3 1215:11,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas D,S,Sigma Seven,Mercury SC16,1962 B DEL 1,1962 B DEL,S00433,433,CC       LC14,113D,KHR-1,1962-052A,,
1962 Oct 31 0808:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Ablestar,S,ANNA 1B,ANNA 1B,1962 B MU 1,1962 B MU,S00446,446,CC       LC17A,319/AB012,Gatland1,1962-060A,,
1962 Oct 9 1835:39,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,FTV 1134,ARGON 9,1962 B EPS,1962 B EPS,S00436,436,V        75-3-4,352/FTV 1134,SAMOS,1962-053A,,
1962 Sep 1 0212:30,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78,F,[AMS Venera],2MV-1 No. 2,1962 A TAU 1,1962 A TAU,S00381,381,NIIP-5   LC1,T103-13,NK9701-29,1962-043A,Venus,
1962 Sep 1 2039:09,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,FTV 1132,ARGON 10,1962 A UPS,1962 A UPS,S00385,385,V        75-3-5,348/FTV 1132,SAMOS,1962-044A,,
