Launch Date and Time (UTC),Launch Site (Abbrv.),Launch Site (Full),Latitude,Longitude,Launch Vehicle,Success,Official Payload Name,Manufacturer's Payload Name,COSPAR,Launch Designator ,SATCAT ID,SATCAT ID w/o success code or leading zeros,Site,LV S/N,Ref,International Designator,Tag,Data Mismatch Investigation Results
1978 Sep 9 1500:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1031,Zenit-4MKM,1978-085A,1978-085,S11022,11022,NIIP-53  LC41/1,78018  -716 ?,RAEX,1978-085A,,
1979 Apr 10 1734:34,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U,S,Soyuz-33,Soyuz 7K-T No. 49,1979-029A,1979-029,S11324,11324,NIIP-5   LC31,Zh15000-182,NK0204-71,1979-029A,,
1979 Apr 11 2151:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-1092,Tsikada,1979-030A,1979-030,S11326,11326,NIIP-53  LC132/1,53782-423,RAEX,1979-030A,,
1979 Apr 12 0028:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Molniya 8K78M,S,Molniya-1,Molniya-1,1979-031A,1979-031,S11328,11328,NIIP-53  LC41/1,76042  -605,RAEX,1979-031A,,
1979 Apr 14 0527:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Vostok 8A92M,S,Kosmos-1093,Tselina-D,1979-032A,1979-032,S11331,11331,NIIP-53  LC43/3,78055  -326,RAEX,1979-032A,,
1979 Apr 18 1200:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Tsiklon-2,S,Kosmos-1094,US-P,1979-033A,1979-033,S11333,11333,NIIP-5   LC90,45026-504,RAEX,1979-033A,,
1979 Apr 20 1130:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1095,Zenit-6,1979-034A,1979-034,S11335,11335,NIIP-53  LC43/3,76038  -407,RAEX,1979-034A,,
1979 Apr 25 0344:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/DM,S,Raduga,Gran' No. 15L,1979-035A,1979-035,S11343,11343,NIIP-5   LC200/40,298-02,NK9810-25,1979-035A,,
1979 Apr 25 1000:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Tsiklon-2,S,Kosmos-1096,US-P,1979-036A,1979-036,S11346,11346,NIIP-5   LC90,45052-105,RAEX,1979-036A,,
1979 Apr 27 1715:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1097,Yantar'-4K1 No. 1,1979-037A,1979-037,S11348,11348,NIIP-53  LC43/3,E 15000-048,NK9718-91,1979-037A,,
